時,降水量,気温,平均風速,風向,最大風速,最大風向
2025-05-15 00:10:00,0.0,23.0,1.6,東南東,3.6,東
2025-05-15 00:20:00,0.0,23.1,1.5,東南東,3.6,東
2025-05-15 00:30:00,0.0,23.0,1.9,東,4.1,東南東
2025-05-15 00:40:00,0.0,23.0,1.8,東,3.1,東
2025-05-15 00:50:00,0.0,23.0,1.6,東,3.6,東南東
2025-05-15 01:00:00,0.0,23.0,1.3,東,2.6,東南東
2025-05-15 01:10:00,0.0,23.0,1.6,東,3.1,東南東
2025-05-15 01:20:00,0.0,23.1,1.5,東,2.6,東
2025-05-15 01:30:00,0.0,23.0,1.4,東,3.1,東
2025-05-15 01:40:00,0.0,23.1,1.5,東南東,2.6,東
2025-05-15 01:50:00,0.0,23.2,1.6,東,3.1,東
2025-05-15 02:00:00,0.0,23.3,1.5,東,3.1,東
2025-05-15 02:10:00,0.0,23.3,1.9,東,3.6,東
2025-05-15 02:20:00,0.0,23.3,1.5,東,3.1,東
2025-05-15 02:30:00,0.0,23.3,1.3,東南東,3.1,東
2025-05-15 02:40:00,0.0,23.3,1.6,東,3.1,東
2025-05-15 02:50:00,0.0,23.3,1.7,東,3.1,東
2025-05-15 03:00:00,0.0,23.3,1.3,東,2.6,東南東
2025-05-15 03:10:00,0.0,23.3,1.6,東,3.1,東南東
2025-05-15 03:20:00,0.0,23.3,1.4,東,2.6,東
2025-05-15 03:30:00,0.0,23.2,1.1,東北東,2.6,東北東
2025-05-15 03:40:00,0.0,23.2,1.2,東北東,2.6,東北東
2025-05-15 03:50:00,0.0,23.2,1.6,東北東,3.1,東北東
2025-05-15 04:00:00,0.0,23.2,2.0,北東,3.6,北東
2025-05-15 04:10:00,0.0,23.2,1.9,北東,3.6,東北東
2025-05-15 04:20:00,0.0,23.2,2.0,東北東,3.6,北東
2025-05-15 04:30:00,0.0,23.2,1.9,東北東,3.6,東北東
2025-05-15 04:40:00,0.0,23.3,1.5,東北東,3.1,東
2025-05-15 04:50:00,0.0,23.3,1.3,東北東,4.1,東北東
2025-05-15 05:00:00,0.0,23.3,1.2,東北東,2.6,東
2025-05-15 05:10:00,0.0,23.3,1.2,東北東,2.6,北東
2025-05-15 05:20:00,0.0,23.4,1.7,北東,3.1,東北東
2025-05-15 05:30:00,0.0,23.3,2.2,北東,3.6,東北東
2025-05-15 05:40:00,0.0,23.4,1.8,東北東,3.1,東
2025-05-15 05:50:00,0.0,23.4,1.8,東北東,3.6,北東
2025-05-15 06:00:00,0.0,23.5,1.9,東北東,3.6,東北東
2025-05-15 06:10:00,0.0,23.5,2.3,北東,4.1,北東
2025-05-15 06:20:00,0.0,23.5,3.1,北東,5.1,北東
2025-05-15 06:30:00,0.0,23.4,3.4,北東,4.6,北東
2025-05-15 06:40:00,0.0,23.2,4.0,北東,6.2,北東
2025-05-15 06:50:00,0.0,23.2,3.7,北東,5.7,東北東
2025-05-15 07:00:00,0.0,23.2,3.6,北東,5.7,北東
2025-05-15 07:10:00,0.0,23.2,4.1,北東,6.2,北東
2025-05-15 07:20:00,0.0,23.1,4.0,北東,6.2,北東
2025-05-15 07:30:00,0.0,23.1,4.1,北東,6.7,北東
2025-05-15 07:40:00,0.0,23.2,4.2,北東,6.7,北東
2025-05-15 07:50:00,0.0,23.3,4.0,北東,6.2,北東
2025-05-15 08:00:00,0.0,23.3,4.0,北東,5.7,東北東
2025-05-15 08:10:00,0.0,23.3,3.4,北東,5.7,北東
2025-05-15 08:20:00,0.0,23.4,3.7,北東,5.7,東北東
2025-05-15 08:30:00,0.0,23.5,3.4,北東,5.7,北東
2025-05-15 08:40:00,0.0,23.6,3.8,北東,5.1,北東
2025-05-15 08:50:00,0.0,23.6,3.8,北東,6.2,北東
2025-05-15 09:00:00,0.0,23.9,3.5,北東,5.7,北東
2025-05-15 09:10:00,0.0,23.8,3.4,北東,5.7,北東
2025-05-15 09:20:00,0.0,23.8,3.2,東北東,5.1,東
2025-05-15 09:30:00,0.0,24.0,3.2,東北東,6.2,東
2025-05-15 09:40:00,0.0,24.1,2.8,東北東,5.1,東北東
2025-05-15 09:50:00,0.0,24.3,3.6,東北東,6.2,東北東
2025-05-15 10:00:00,0.0,24.6,3.1,東北東,5.7,東北東
2025-05-15 10:10:00,0.0,24.6,3.3,東北東,5.7,東北東
2025-05-15 10:20:00,0.0,24.6,3.1,東北東,5.1,東北東
2025-05-15 10:30:00,0.0,24.9,3.1,東北東,5.7,東北東
2025-05-15 10:40:00,0.0,24.8,3.1,東北東,5.7,東北東
2025-05-15 10:50:00,0.0,24.8,2.8,東北東,4.6,北東
2025-05-15 11:00:00,0.0,24.4,2.6,東北東,5.1,北東
2025-05-15 11:10:00,0.0,24.4,2.5,東北東,5.7,東北東
2025-05-15 11:20:00,0.0,24.5,2.7,東北東,5.7,東北東
2025-05-15 11:30:00,0.0,24.6,3.1,東北東,5.1,東北東
2025-05-15 11:40:00,0.0,25.4,3.2,東北東,5.7,東北東
2025-05-15 11:50:00,0.0,25.0,3.4,東北東,5.7,東北東
2025-05-15 12:00:00,0.0,25.2,3.2,東北東,5.7,北東
2025-05-15 12:10:00,0.0,25.0,3.2,東北東,6.7,東北東
2025-05-15 12:20:00,0.0,25.2,2.9,東北東,5.7,北東
2025-05-15 12:30:00,0.0,25.3,3.1,東北東,6.2,東北東
2025-05-15 12:40:00,0.0,25.7,3.0,東北東,5.7,東
2025-05-15 12:50:00,0.0,25.4,3.4,東北東,6.2,北東
2025-05-15 13:00:00,0.0,25.2,3.3,東北東,5.7,東北東
2025-05-15 13:10:00,0.0,24.9,2.7,東北東,6.2,北東
2025-05-15 13:20:00,0.0,24.8,2.7,東北東,5.7,東北東
2025-05-15 13:30:00,0.0,24.9,2.6,東北東,4.1,東
2025-05-15 13:40:00,0.0,25.5,2.8,東北東,5.1,東北東
2025-05-15 13:50:00,0.0,25.1,3.1,東北東,5.7,東北東
2025-05-15 14:00:00,0.0,25.1,3.3,東北東,6.2,東北東
2025-05-15 14:10:00,0.0,25.3,3.5,東北東,6.2,東北東
2025-05-15 14:20:00,0.0,25.6,3.7,東北東,6.2,東北東
2025-05-15 14:30:00,0.0,25.6,3.3,東北東,6.2,東北東
2025-05-15 14:40:00,0.0,25.6,3.7,東北東,7.2,東北東
2025-05-15 14:50:00,0.0,25.6,2.9,東北東,5.7,北東
2025-05-15 15:00:00,0.0,25.7,2.8,東北東,6.2,東南東
2025-05-15 15:10:00,0.0,25.5,2.2,東北東,4.6,東北東
2025-05-15 15:20:00,0.0,26.0,2.6,東,5.7,東南東
2025-05-15 15:30:00,0.0,25.9,2.5,東,5.7,東
2025-05-15 15:40:00,0.0,26.2,1.9,東,4.1,東
2025-05-15 15:50:00,0.0,26.1,2.4,東,5.1,東
2025-05-15 16:00:00,0.0,26.0,2.6,東,5.1,東
2025-05-15 16:10:00,0.0,25.9,2.4,東,4.1,東
2025-05-15 16:20:00,0.0,25.8,2.3,東,4.1,東北東
2025-05-15 16:30:00,0.0,26.0,2.4,東,4.1,東
2025-05-15 16:40:00,0.0,25.4,1.8,東北東,4.1,東
2025-05-15 16:50:00,0.0,25.5,2.1,東北東,4.1,東北東
2025-05-15 17:00:00,0.0,25.6,2.1,東北東,4.1,東北東
2025-05-15 17:10:00,0.0,25.3,2.2,東北東,4.6,北東
2025-05-15 17:20:00,0.0,25.0,2.1,東北東,4.6,北東
2025-05-15 17:30:00,0.0,24.8,2.3,東北東,4.6,東北東
2025-05-15 17:40:00,0.0,24.8,2.1,東北東,4.1,東
2025-05-15 17:50:00,0.0,24.7,1.9,東北東,4.1,東
2025-05-15 18:00:00,0.0,24.6,1.9,東,5.1,東
2025-05-15 18:10:00,0.0,24.4,2.4,東,4.6,東南東
2025-05-15 18:20:00,0.0,24.3,3.3,東,6.2,東
2025-05-15 18:30:00,0.0,24.2,2.8,東,5.1,東南東
2025-05-15 18:40:00,0.0,24.2,2.5,東南東,5.7,東南東
2025-05-15 18:50:00,0.0,24.1,2.4,東南東,5.1,東
2025-05-15 19:00:00,0.0,24.1,1.7,東南東,4.1,南東
2025-05-15 19:10:00,0.0,24.1,1.5,南東,4.6,南東
2025-05-15 19:20:00,0.0,24.1,1.7,東南東,4.1,東南東
2025-05-15 19:30:00,0.0,24.1,1.4,東南東,3.6,東
2025-05-15 19:40:00,0.0,24.1,1.4,東南東,3.6,東
2025-05-15 19:50:00,0.0,24.1,1.4,東南東,3.6,東南東
2025-05-15 20:00:00,0.0,24.1,1.3,東南東,3.1,東南東
2025-05-15 20:10:00,0.0,24.1,1.6,東,4.1,東
2025-05-15 20:20:00,0.0,24.0,2.0,東,4.6,東
2025-05-15 20:30:00,0.0,24.1,2.3,東,3.6,東
2025-05-15 20:40:00,0.0,24.1,2.2,東,3.6,東
2025-05-15 20:50:00,0.0,24.1,1.8,東,3.6,東南東
2025-05-15 21:00:00,0.0,24.1,2.0,東南東,3.6,東
2025-05-15 21:10:00,0.0,24.1,1.8,東南東,4.1,東南東
2025-05-15 21:20:00,0.0,24.2,1.6,東南東,3.6,東南東
2025-05-15 21:30:00,0.0,24.2,1.4,東南東,3.6,東
2025-05-15 21:40:00,0.0,24.2,1.7,東南東,3.6,東
2025-05-15 21:50:00,0.0,24.2,1.6,東南東,3.6,東
2025-05-15 22:00:00,0.0,24.2,1.4,東南東,3.6,東南東
2025-05-15 22:10:00,0.0,24.2,1.4,東南東,3.6,東南東
2025-05-15 22:20:00,0.0,24.2,1.4,東南東,4.1,東南東
2025-05-15 22:30:00,0.0,24.3,1.5,東南東,3.6,南東
2025-05-15 22:40:00,0.0,24.2,1.7,東南東,3.6,南東
2025-05-15 22:50:00,0.0,24.2,1.3,東南東,3.1,東南東
2025-05-15 23:00:00,0.0,24.2,1.4,東南東,3.1,東南東
2025-05-15 23:10:00,0.0,24.2,1.4,東南東,3.1,東南東
2025-05-15 23:20:00,0.0,24.1,1.5,南東,3.6,東南東
2025-05-15 23:30:00,0.0,24.2,1.4,南東,3.1,南東
2025-05-15 23:40:00,0.0,24.2,1.7,南東,4.1,南東
2025-05-15 23:50:00,0.0,24.3,1.9,南東,3.6,東南東
2025-05-16 00:00:00,0.0,24.3,1.7,南東,3.6,南東
